BB King-Completely Well-01-So Excited,Blues,0.6233486527,0.7403794986,-1,0.6094423317,0.5217173699,0.5922043029,0.639812955,0.1347199981,0.2456056562,0.2576361222,0.281384972,0.2402966764,0.420691056,0.4070550065,0.2306228598,0.3080309206,0.3718465434,0.420420476,0.3063839824,0.3442429489,0.4355360225,0.4591350001,0.443360872,0.1399643705,0.3866300484,0.2473535828,0.3692225165,0.3907449657,0.4383925503,0.3026744903,-1,0.3325225112,0.3663939406,0.2570134932,0.2079807319,0.2747242352,-1,-1,-1,0.2555293167,-1,0.1860347162,-1,0.1860347162,0.0002290589,-1,0.2938534931,0.3018879114,0.3191961017,0.3525087567,0.7663753085,0.1269201973,0.2652717529,0.2304382112,0.6964259133,0.1780557741,0.0787248293,-1,0.2399393442,0.2076216356,-1,-1,-1,0.1541928817,-1,0.2884195037,-1,0.1466472347,0.1466472347
BB King-Completely Well-02-No Good,Blues,0.5128834003,0.8032288771,0.5306687948,0.6053307378,0.5573377888,0.6774705502,0.4777103117,0.1124145015,0.1549811093,0.2310756972,0.2872251044,0.265420413,0.4120714619,0.285439347,0.366909938,0.4269811806,0.2573111897,0.2784413949,0.222715736,0.2923735717,0.3874442638,0.4103709261,0.3734305531,0.4184679335,0.5418596336,-1,0.4792961052,0.4989531963,0.5436778157,0.3158850216,-1,0.2005369249,0.3093255314,0.1576267837,0.1277973314,0.20372563,0.0030933456,3.53E-05,0,0.3520504005,2.95E-05,0.2268769043,0.0030917754,0.2268769043,0.0032918598,3.86E-05,0.3493778651,0.3562727847,0.331440295,0.367292075,0.8427090716,0.1365690135,0.273081489,-1,0.7831715645,-1,0.1989948587,0.2995169082,0.1483133955,0.3194962043,0.003050707,0.9999660168,3.40E-05,0.2675503191,-1,0.2621338609,3.46E-05,0.1841836735,0.1841836735
BB King-Completely Well-03-You're Losin' Me,Blues,0.475893361,0.758385466,0.3956084043,0.6067478867,0.6094017048,0.6393646091,0.5753733939,0.1204191658,0.2365128924,0.2390438247,0.2681316025,0.2115347612,0.4341974836,0.304908124,0.181520897,0.2779769885,0.292807505,0.3929577284,0.321885765,0.3424648912,0.4004865797,0.3391383181,0.3929246637,0.2178048298,0.3413017435,0.191499548,0.4178362092,0.3455374833,0.3307551837,0.3914211239,-1,0.3380469336,0.4031804437,0.201820804,0.1516702335,0.1682267613,0.0071895682,0.0001140278,4.32E-05,0.2700108738,7.85E-05,0.1614497408,0.007184946,0.1614497408,0.0040307511,9.52E-05,0.3038637852,0.286961371,0.3837045424,0.1781565848,0.9979018162,0.1648741613,0.1759255927,0.3764254708,0.7183691347,0.2376360731,0.1323808744,0.2126909518,0.182906417,0.3440016097,0.0066015899,0.9999037863,9.69E-05,0.2194403535,4.43E-05,0.2989923093,0.0001049513,0.117268449,0.117268449
BB King-Completely Well-04-What Happened,Blues,0.4279521033,0.7945910583,0.4076713657,0.7012737137,0.4086324902,0.7683133862,0.4769414734,0.1086432076,0.2081481923,0.213811421,0.2578596878,0.1292467173,0.2040813365,0.2795975468,0.1927101203,0.3088558445,0.1408424919,0.2007757044,0.1929504032,0.1989300182,0.2503531625,0.2060404232,0.2538146898,0.2054433888,0.382570694,-1,0.3562303579,0.2715145227,0.2483914454,0.2300663677,0.1452912672,0.1925440486,0.1961276307,0.1271462447,0.1153497184,0.1828100301,0.0115386425,0.0002391879,8.29E-05,0.2510937435,0.0001465941,0.2067545253,0.0115426091,0.2067545253,0.0063386442,0.0001935645,0.4813359528,0.4788239824,0.3515365613,0.3420274841,0.873715565,0.1542848081,-1,-1,0.8580042948,-1,-1,-1,0.2263693045,0.2812571894,0.0101014572,0.9998172048,0.0001831761,0.1453662838,8.23E-05,0.283677554,0.0002090142,0.1641399388,0.1641399388
BB King-Completely Well-05-Confessin' the Blues,Blues,0.4139417724,0.7875016903,0.4539887919,0.5199063164,0.6006330069,0.7076635374,0.4973680442,0.1237003914,0.1487288949,0.2284196547,0.2689743956,0.2153003739,0.2571858385,0.2288411044,0.1905089039,0.1967017259,0.1690216144,0.2425875512,0.1954561535,0.251025046,0.3446345419,0.2812227794,0.3106882447,0.1799287411,0.291493564,0.1659662749,0.409720222,0.409876391,0.4076795259,0.2171903663,0.2229800906,0.1673041385,0.2077207445,0.1927369547,0.1449459521,0.2007928587,0.0159302356,0.0003939085,0.0002066137,0.2987510402,0.0002890591,0.1784311247,0.0159250844,0.1784311247,0.0076769166,0.0002974933,0.3430837511,0.3381265297,0.3813740817,0.3113941698,1,0.171025178,0.2695947179,0.196925484,0.7875899228,0.0751351214,-1,0.2427209819,0.2186599714,0.3381815045,0.0138305102,0.9996981552,0.0003021684,0.1606392833,0.0002060758,0.3403900217,0.0003448036,0.1194805204,0.1194805204
BB King-Completely Well-06-Key to My Kingdom,Blues,0.4966327516,0.8225450578,0.3183209585,0.6124422857,0.464557094,0.6835921462,0.525834011,0.1112686413,0.1737865983,0.2058432935,0.253773394,0.2046530399,0.2729693065,0.3006180415,0.221653611,0.2427684535,0.2148411221,0.2697330922,0.2578860024,0.2791156917,0.3369957623,0.379941101,0.3325626895,0.3361045131,0.322296908,-1,0.4974995161,0.4159790984,0.4455779371,0.2532944178,-1,0.1852864881,0.2156566667,0.1680794192,0.155143447,-1,0.0197204903,0.0005624658,0.0002810907,0.3270544842,0.0004315764,0.1647446403,0.0197163144,0.1647446403,0.0095687184,0.0004139979,0.3866591827,0.3676408936,0.3292437669,0.350299208,1,0.136340219,0.2663890156,0.2236073858,0.7233082951,0.1240985562,0.1482993066,-1,0.2290231945,0.2914078675,0.0173292171,0.9995628716,0.0004379879,0.1665614728,0.000281804,0.2879635787,0.0004958218,0.108503398,0.108503398
BB King-Completely Well-07-Crying Won't Help You,Blues,0.4878784834,0.8179081104,0.3863071841,0.6211036137,0.4415399962,0.7760986382,0.5166232332,0.0941318117,0.2964700264,0.2058432935,0.2327393714,0.2344126516,0.4909286168,0.2195250485,0.1775963053,0.3250983154,0.2888079855,0.3994419444,0.2378999417,0.2510017026,0.3264200628,0.3236626851,0.2889631871,0.2785035629,0.3722672478,0.1725091761,0.3869428306,0.3750936575,0.4072157188,0.3910163844,0.1905878015,0.2654571915,0.2924186911,0.1555171887,0.126237745,-1,0.0240764141,0.0007882572,0.000317128,0.3031003458,0.0005641951,0.1775365811,0.0240728287,0.1775365811,0.0138701271,0.0006540641,0.3315613071,0.3384118111,0.3165548903,0.3312596673,0.9340820604,0.1169330106,0.1968108859,0.4247498779,0.7982903549,0.0954452029,0.1464200874,0.3460416941,0.1584806845,0.3215364044,0.0209326701,0.9993962023,0.000603856,0.19473081,0.0003134674,0.2266951524,0.0006925261,0.1448979592,0.1448979592
BB King-Completely Well-08-You're Mean,Blues,0.4868909252,0.7553502214,0.3685652776,0.429153553,0.4147317429,0.6711740342,0.5626943861,0.1047445706,0.0981318177,0.1580345286,0.185696778,0.1806166819,0.2105619515,0.2276978496,0.107915392,0.223615338,0.1743700947,0.2337434383,0.2139696748,0.213451196,0.2663917465,0.2702910616,0.2932207009,-1,0.2863974665,0.084578967,0.3351797722,0.2880616092,0.3359490145,0.1388483002,0.1439745075,0.1580681958,0.2027155407,0.1982942963,0.1486888567,-1,0.0316626685,0.0012788345,0.0007045286,0.1722051096,0.0006287123,0.1541539186,0.0316488873,0.1541539186,-1,-1,0.3958349705,0.4073975273,0.3521294725,0.327680805,1,0.1517720134,-1,-1,0.7028354644,0.1623334772,0.0964328565,0.2858075467,0.2545748343,0.3561747567,0.0277256459,0.9990119968,0.0009884777,0.1497299951,0.0007092595,0.3331200365,0.0011227375,0.1193525714,0.1193525714
BB King-Completely Well-09-The Thrill Is Gone,Blues,0.4647417996,0.8338548368,0.5231347217,0.6194543233,0.5415686481,0.7825483108,0.5039791185,0.1015198957,0.1809804439,0.2177954847,0.2372235998,0.2148607726,0.2722922273,0.2302077811,0.1671256071,0.2131824291,0.1442901382,0.179665074,0.1838618067,0.234277622,0.3026212524,0.2209252024,0.2447447984,-1,0.2802106858,0.1639315922,0.337194379,0.3800375545,0.4289322858,0.2450854583,0.328320868,0.1259003593,0.1689539539,0.1241336273,0.1233083614,0.1614233022,0.0393399174,0.0018826221,0.0008336622,0.2448608204,0.0011914455,0.188108423,0.0394853153,0.188108423,0.0210848573,0.0014861236,0.5083371107,0.5195641905,0.3334520914,0.3260502478,0.7737349234,0.1281182689,0.1922020744,0.3379165833,0.7664838255,0.0934431221,0.1663904054,0.4482961222,0.1719455249,0.3975802277,0.0341830626,0.9985661021,0.0014380043,0.1747221895,0.0008174427,0.2557511453,0.0016430522,0.1371057551,0.1371057551
Elmore James-Blues After Hours-01-Dust My Blues,Blues,0.4794427016,0.7287099144,0.5100943765,0.3887465375,0.4862654859,0.7638834497,0.4890544177,0.2080949037,0.1552049842,0.3107569721,0.395409615,0.2900382846,0.4420263044,0.2049123776,0.1422436255,0.1813197363,0.2364476203,0.2648665667,0.181151223,0.2987293969,0.3231482937,0.3926046755,0.3313889385,-1,0.2250817272,0.1626150328,0.3145403333,0.4272368906,0.4031495765,0.3269887061,0.1990150637,0.2092349972,0.3106351994,0.2664665123,0.2088719366,0.1424542045,0.2744925994,0.0773371939,0.088557386,0.3582961687,0.0637838736,0.1820428282,0.2744158887,0.1820428282,0.1416206387,0.0570780673,0.3133595285,0.3198186183,0.4254775474,0.2897880859,0.9997615703,0.2271216679,0.4129625391,-1,0.7117009207,0.3464437058,0.2160764793,0.1345475911,0.3533590298,0.3657694962,0.3069255414,0.9040191025,0.095898683,0.1441194993,0.0873033045,0.4530907439,0.0858959571,0.1459183673,0.1459183673
